year,cityid,g_private,reform,reformyear
2018,33,0.0045392,1,2014
2004,34,0.0688758,0,2016
2005,34,-0.2569803,0,2016
2006,34,-0.2487795,0,2016
2007,34,0.0985468,0,2016
2008,34,0.6261865,0,2016
2009,34,0.3362248,0,2016
2010,34,0.1932171,0,2016
2011,34,-0.2630836,0,2016
2012,34,0.0254443,0,2016
2013,34,0.0576647,0,2016
2014,34,0.6261865,0,2016
2015,34,0.0595237,0,2016
2016,34,-0.2569635,1,2016
2017,34,-0.06809,1,2016
2018,34,0.0351645,1,2016
2004,35,0.1284066,0,2013
2005,35,0.2784547,0,2013
2006,35,0.021455,0,2013
2007,35,-0.2025407,0,2013
2008,35,0.0372853,0,2013
2009,35,0.1900613,0,2013
2010,35,0.6261865,0,2013
2011,35,-0.2630836,0,2013
2012,35,0.1430669,0,2013
2013,35,0.0840229,1,2013
2014,35,-0.2630836,1,2013
2015,35,0.4065259,1,2013
2016,35,0.0905301,1,2013
2017,35,0.2455618,1,2013
2018,35,0.4032494,1,2013
2004,36,0.152231,0,2015
2005,36,0.2759941,0,2015
2006,36,0.4845463,0,2015
2007,36,0.1999767,0,2015
2008,36,-0.088719,0,2015
2009,36,0.1402949,0,2015
2010,36,0.3384978,0,2015
2011,36,-0.2630836,0,2015
2012,36,0.1313761,0,2015
2013,36,0.1978196,0,2015
2014,36,0.0626098,0,2015
2015,36,0.0508145,1,2015
2016,36,-0.0251373,1,2015
2017,36,5.81E-05,1,2015
2018,36,0.6261865,1,2015
2004,37,0.0891455,0,2014
2005,37,0.0778986,0,2014
2006,37,-0.2630836,0,2014
2007,37,-0.0862398,0,2014
2008,37,0.0771658,0,2014
2009,37,0.0684935,0,2014
2010,37,0.2048691,0,2014
2011,37,0.2283908,0,2014
2012,37,0.1125387,0,2014
2013,37,0.4760936,0,2014
2014,37,-0.0586161,1,2014
2015,37,0.5805622,1,2014
2016,37,-0.1256393,1,2014
2017,37,-0.0265691,1,2014
2018,37,-0.0178266,1,2014
2004,38,0.1514482,0,2013
2005,38,0.128755,0,2013
2006,38,0.4180026,0,2013
2007,38,-0.2630836,0,2013
2008,38,0.241697,0,2013
2009,38,-0.0001205,0,2013
2010,38,0.1952251,0,2013
2011,38,0.3723554,0,2013
2012,38,-0.043624,0,2013
2013,38,0.256798,1,2013
2014,38,0.0896054,1,2013
2015,38,0.6246453,1,2013
2016,38,-0.2630836,1,2013
2017,38,0.6261865,1,2013
2018,38,-0.2630836,1,2013
2004,39,0.0719762,0,2014
2005,39,-0.0067877,0,2014
2006,39,0.0936202,0,2014
2007,39,0.1412695,0,2014
2008,39,0.2691107,0,2014
2009,39,0.0366421,0,2014
2010,39,0.4709059,0,2014
2011,39,-0.0296361,0,2014
2012,39,0.6261865,0,2014
2013,39,0.1109519,0,2014
2014,39,-0.2521051,1,2014
2015,39,-0.1210611,1,2014
2016,39,-0.0493006,1,2014
2017,39,-0.0664527,1,2014
2018,39,-0.2156773,1,2014
2004,40,0.1060358,0,2017
2005,40,0.6261865,0,2017
2006,40,0.1136871,0,2017
2007,40,0.0537091,0,2017
2008,40,0.0259685,0,2017
2009,40,0.0515634,0,2017
2010,40,-0.0007345,0,2017
2011,40,0.4749787,0,2017
2012,40,0.0347411,0,2017
2013,40,0.0401678,0,2017
2014,40,-0.1228007,0,2017
2015,40,0.4270252,0,2017
2016,40,0.0694959,0,2017
2017,40,-0.0464036,1,2017
2018,40,-0.2630836,1,2017
2004,41,0.0947644,0,2013
2005,41,0.0167716,0,2013
2006,41,0.6128687,0,2013
2007,41,0.0708524,0,2013
2008,41,0.129275,0,2013
2009,41,0.2688716,0,2013
2010,41,-0.2563273,0,2013
2011,41,0.3025333,0,2013
2012,41,0.1546815,0,2013
2013,41,0.1700162,1,2013
2014,41,0.1048244,1,2013
2015,41,0.167475,1,2013
2016,41,-0.1553358,1,2013
2017,41,-0.0585792,1,2013
2018,41,-0.2012256,1,2013
2004,42,0.1858419,0,2013
2005,42,0.1303139,0,2013
2006,42,0.198965,0,2013
2007,42,0.1965896,0,2013
2008,42,0.6261865,0,2013
2009,42,0.6261865,0,2013
2010,42,-0.2630836,0,2013
2011,42,0.3342481,0,2013
2012,42,0.1124092,0,2013
2013,42,-0.0961148,1,2013
2014,42,-0.0828007,1,2013
2015,42,0.1741206,1,2013
2016,42,0.3164494,1,2013
2017,42,0.270694,1,2013
2018,42,0.0576235,1,2013
2004,43,0.1006365,0,2015
2005,43,0.0771374,0,2015
2006,43,0.4096564,0,2015
2007,43,-0.0720266,0,2015
2008,43,0.2064308,0,2015
2009,43,-0.0130587,0,2015
2010,43,0.1096361,0,2015
2011,43,0.1021903,0,2015
2012,43,0.0427171,0,2015
2013,43,0.0615945,0,2015
2014,43,0.0743916,0,2015
2015,43,0.1565606,1,2015
2016,43,0.1048517,1,2015
2017,43,0.3051055,1,2015
2018,43,-0.156275,1,2015
2004,44,0.0736509,0,2016
2005,44,0.0479824,0,2016
2006,44,-0.021562,0,2016
2007,44,0.1188867,0,2016
2008,44,0.0394767,0,2016
2009,44,0.0476551,0,2016
2010,44,0.087271,0,2016
2011,44,0.5133028,0,2016
2012,44,0.2303471,0,2016
2013,44,-0.0016282,0,2016
2014,44,-0.2620345,0,2016
2015,44,0.0298471,0,2016
2016,44,0.0017222,1,2016
2017,44,0.1261957,1,2016
2018,44,0.0736509,1,2016
2004,45,0.1236607,0,2016
2005,45,0.1064487,0,2016
2006,45,0.0634535,0,2016
2007,45,-0.0381757,0,2016
2008,45,-0.0290436,0,2016
2009,45,0.1029948,0,2016
2010,45,0.0832223,0,2016
2011,45,0.0460086,0,2016
2012,45,0.6261865,0,2016
2013,45,-0.2630836,0,2016
2014,45,0.5859161,0,2016
2015,45,0.0899985,0,2016
2016,45,0.1100021,1,2016
2017,45,0.1236607,1,2016
2018,45,0.1236607,1,2016
2004,46,0.1031964,0,2017
2005,46,0.2160985,0,2017
2006,46,0.0862965,0,2017
2007,46,0.0471577,0,2017
2008,46,0.2078895,0,2017
2009,46,-0.0760005,0,2017
2010,46,0.1927726,0,2017
2011,46,0.0474727,0,2017
2012,46,0.1754183,0,2017
2013,46,0.1183416,0,2017
2014,46,0.0795618,0,2017
2015,46,0.301179,0,2017
2016,46,-0.06424,0,2017
2017,46,0.203985,1,2017
2018,46,-0.0911831,1,2017
2004,47,0.1153054,0,2015
2005,47,0.385624,0,2015
2006,47,0.0862965,0,2015
2007,47,0.0471577,0,2015
2008,47,0.2078895,0,2015
2009,47,-0.0760005,0,2015
2010,47,0.1927726,0,2015
2011,47,0.0474727,0,2015
2012,47,0.1754183,0,2015
2013,47,0.1183416,0,2015
2014,47,0.0795618,0,2015
2015,47,0.301179,1,2015
2016,47,-0.06424,1,2015
2017,47,0.203985,1,2015
2018,47,-0.0911831,1,2015
2004,48,0.136857,0,2017
2005,48,0.3135436,0,2017
2006,48,0.185989,0,2017
2007,48,0.1977486,0,2017
2008,48,0.0962087,0,2017
2009,48,0.1728552,0,2017
2010,48,0.1630938,0,2017
